rank,label,candidate_hidden,candidate_learning_rate,candidate_batch_size,candidate_seed,gpu_score,gpu_acc_mean,gpu_f1_mean,gpu_best_seed_acc,gpu_best_seed_f1,run_id,run_name,hidden,output_head,best_epoch,mode,threshold,split,samples,loss,accuracy,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,duration_ms,dense_ops_total,sparse_ops_total,estimated_speedup,active_total,activation_slots_total,avg_active_count,avg_active_ratio,avg_sparsity,avg_active_by_layer,max_abs_diff_from_dense,mismatch_count_from_dense
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_threshold,0.02500000,test,100,0.73424181,0.50000000,0.50000000,0.18000000,0.26470588,41,9,41,9,24,28108800,27011851,1.04060992,28519,60800,95.06333333,0.46906250,0.53093750,L0=30.95/64;L1=13.17/32;L2=241.07/512,0.00413592,0
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_threshold,0.05000000,test,100,0.73405798,0.51000000,0.52631579,0.20000000,0.28985507,41,9,40,10,23,28108800,26994911,1.04126293,27732,60800,92.44000000,0.45611842,0.54388158,L0=30.19/64;L1=12.90/32;L2=234.23/512,0.01030954,1
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_threshold,0.07500000,test,100,0.73235604,0.50000000,0.50000000,0.18000000,0.26470588,41,9,41,9,23,28108800,26975139,1.04202614,26962,60800,89.87333333,0.44345395,0.55654605,L0=29.50/64;L1=12.57/32;L2=227.55/512,0.01675798,2
2,top2_64x32x512_lr0p003_b16_s25,64x32x512,0.003,16,25,0.872363,0.578095,0.575089,0.62,0.641509,bfc4ca1b4d3f,top2_64x32x512_lr0p003_b16_s25,64x32x512,sigmoid1,28,sparse_threshold,0.10000000,test,100,0.73055526,0.51000000,0.52941176,0.18000000,0.26865672,42,8,41,9,23,28108800,26950629,1.04297380,26208,60800,87.36000000,0.43105263,0.56894737,L0=28.76/64;L1=12.15/32;L2=221.17/512,0.03724888,3
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,0.871975,0.576667,0.570688,0.63,0.704000,f9521d9d19c4,top3_128x32x512_lr0p003_b32_s9,128x32x512,sigmoid1,31,dense,0.00000000,validation,100,0.66918176,0.64000000,0.62962963,0.68000000,0.65384615,30,20,16,34,48,54528000,54528000,1.00000000,67200,67200,224.00000000,1.00000000,0.00000000,L0=128.00/128;L1=32.00/32;L2=512.00/512,0.00000000,0
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,0.871975,0.576667,0.570688,0.63,0.704000,f9521d9d19c4,top3_128x32x512_lr0p003_b32_s9,128x32x512,sigmoid1,31,sparse_exact,0.00000000,validation,100,0.66918176,0.64000000,0.62962963,0.68000000,0.65384615,30,20,16,34,45,54528000,53479826,1.01959943,33151,67200,110.50333333,0.49331845,0.50668155,L0=69.55/128;L1=15.70/32;L2=246.26/512,0.00000000,0
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,0.871975,0.576667,0.570688,0.63,0.704000,f9521d9d19c4,top3_128x32x512_lr0p003_b32_s9,128x32x512,sigmoid1,31,sparse_threshold,0.02500000,validation,100,0.66916714,0.63000000,0.61818182,0.68000000,0.64761905,29,21,16,34,45,54528000,53457880,1.02001800,32208,67200,107.36000000,0.47928571,0.52071429,L0=67.72/128;L1=15.40/32;L2=238.96/512,0.00335539,1
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,0.871975,0.576667,0.570688,0.63,0.704000,f9521d9d19c4,top3_128x32x512_lr0p003_b32_s9,128x32x512,sigmoid1,31,sparse_threshold,0.05000000,validation,100,0.66919928,0.64000000,0.62962963,0.68000000,0.65384615,30,20,16,34,45,54528000,53428470,1.02057948,31265,67200,104.21666667,0.46525298,0.53474702,L0=65.79/128;L1=14.96/32;L2=231.90/512,0.01355458,0
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,0.871975,0.576667,0.570688,0.63,0.704000,f9521d9d19c4,top3_128x32x512_lr0p003_b32_s9,128x32x512,sigmoid1,31,sparse_threshold,0.07500000,validation,100,0.66889119,0.64000000,0.62962963,0.68000000,0.65384615,30,20,16,34,47,54528000,53399460,1.02113392,30258,67200,100.86000000,0.45026786,0.54973214,L0=63.68/128;L1=14.54/32;L2=224.36/512,0.02306111,2
3,top3_128x32x512_lr0p003_b32_s9,128x32x512,0.003,32,9,0.871975,0.576667,0.570688,0.63,0.704000,f9521d9d19c4,top3_128x32x512_lr0p003_b32_s9,128x32x512,sigmoid1,31,sparse_threshold,0.10000000,validation,100,0.66878861,0.65000000,0.63636364,0.70000000,0.66666667,30,20,15,35,44,54528000,53372731,1.02164530,29363,67200,97.87666667,0.43694940,0.56305060,L0=61.94/128;L1=14.14/32;L2=217.55/512,0.03686142,3
